02/14/2021, 21:02:35 | pyClient | ClientFunction | ERROR MSG
02/14/2021, 21:02:51 | pyClient | ClientFunction | ERROR MSG
02/14/2021, 21:03:14 | pyClient | ClientFunction | ERROR MS9G
02/22/2021, 14:35:18 | ./pyClient.py | PASSWORD | hey
02/22/2021, 14:43:45 | ./pyClient.py | PASSWO | hey
02/22/2021, 14:44:25 | ./pyClient.py | <module> | hey
02/22/2021, 14:53:04 | ./pyClient.py | whoami | hey
02/22/2021, 15:05:35 | ./pyClient.py | __init__ | hey
02/22/2021, 15:08:40 | ./pyClient.py | __init__ | hey
02/22/2021, 15:10:11 | ./pyClient.py | on_response | Error!
02/22/2021, 15:12:34 | ./pyClient.py | call | Error!
02/22/2021, 15:14:54 | ./pyClient.py | __init__ | Error!
